!EXCLAMATION-POINT	ˌɛ k s k l ə ˈm e ɪ ʃ ə n ˌp ɔ ɪ n t
NUSSER	ˈn ʌ s ɝ
NUSSLE	ˈn ʌ s ə l
NUSZ	ˈn ʌ ʃ
NUT	ˈn ʌ t
NUT'S	ˈn ʌ t s
NUTCRACKER	ˈn ʌ t ˌk r æ k ɝ
NUTCRACKERS	ˈn ʌ t ˌk r æ k ɝ z
NUTE	n ˈj uː t
NUTLETS	ˈn ʌ t l ə t s
NUTLEY	ˈn ʌ t l i
NUTMEG	ˈn ʌ t ˌm ɛ g
NUTONE	ˈn uː ˌt o ʊ n
NUTRASWEET	ˈn uː t r ə ˌs w iː t
NUTRI	ˈn uː t r i
NUTRI	ˈn uː t r ɪ
NUTRIA	ˈn uː t r iː ə
NUTRICLEAN	ˈn uː t r ɪ ˌk l iː n
NUTRIENT	ˈn uː t r iː ə n t
NUTRIENTS	ˈn uː t r iː ə n t s
NUTRITION	n uː ˈt r ɪ ʃ ə n
NUTRITIONAL	n uː ˈt r ɪ ʃ ə n ə l
NUTRITIONALLY	n uː ˈt r ɪ ʃ ə n ə l i
NUTRITIONALLY	n uː ˈt r ɪ ʃ n ə l i
NUTRITIONIST	n uː ˈt r ɪ ʃ ə n ɪ s t
NUTRITIONISTS	n uː ˈt r ɪ ʃ ə n ɪ s t s
NUTRITIOUS	n uː ˈt r ɪ ʃ ə s
NUTRITIVE	ˈn uː t r ə t ɪ v
NUTS	ˈn ʌ t s
NUTSHELL	ˈn ʌ t ˌʃ ɛ l
NUTSHELLS	ˈn ʌ t ˌʃ ɛ l z
NUTT	ˈn ʌ t
NUTTAL	ˈn ʌ t ə l
NUTTALL	ˈn ʌ t ə l
NUTTER	ˈn ʌ t ɝ
NUTTERS	ˈn ʌ t ɝ z
NUTTING	ˈn ʌ t ɪ ŋ
NUTTLE	ˈn ʌ t ə l
NUTTY	ˈn ʌ t i
NUVEEN	n uː ˈv iː n
NUXOLL	ˈn ʌ k s ə l
NUYS	ˈn a ɪ z
NUZUM	ˈn uː z ə m
NUZZI	ˈn uː t s i
NUZZLE	ˈn ʌ z ə l
NUZZLES	ˈn ʌ z ə l z
NUZZLING	ˈn ʌ z ə ˌl ɪ ŋ
NUZZO	ˈn uː z o ʊ
NVHOME	ˈɛ n ˈv iː ˈh o ʊ m
NVHOMES	ˈɛ n ˈv iː ˈh o ʊ m z
NVRYAN	ɛ n v ˈr a ɪ ə n
NYACK	ˈn a ɪ ˌæ k
NYBERG	ˈn a ɪ b ɝ g
NYBORG	ˈn a ɪ b ɔ r g
NYCE	ˈn a ɪ s
NYCOR	ˈn a ɪ ˌk ɔ r
NYCUM	ˈn ɪ k ə m
NYCUM	ˈn a ɪ k ə m
NYCZ	ˈn ɪ t ʃ
NYDAM	ˈn ɪ d ə m
NYDEGGER	ˈn a ɪ d ɪ g ɝ
NYDIA	ˈn ɪ d iː ə
NYE	ˈn a ɪ
NYENHUIS	ˈn a ɪ ə n ˌh uː s
NYERERE	ˈn a ɪ ɝ ˌɪ r
NYERI	ˈn a ɪ ɝ i
NYERS	ˈn a ɪ r z
NYET	n ˈj ɛ t
NYGAARD	ˈn a ɪ g ɑː r d
NYGARD	ˈn a ɪ g ɝ d
NYGREN	ˈn ɪ g r ɛ n
NYGREN	ˈn a ɪ g r ɛ n
NYHAN	ˈn a ɪ h æ n
NYHOLM	ˈn a ɪ h o ʊ l m
NYHUS	ˈn ɪ h ɪ s
NYINA	ˈn a ɪ iː n ə
NYLAND	ˈn a ɪ l ə n d
NYLANDER	ˈn ɪ l ə n d ɝ
NYLANDER	ˈn a ɪ l ə n d ɝ
NYLEN	ˈn ɪ l ə n
NYLEX	ˈn a ɪ l ə k s
NYLON	ˈn a ɪ ˌl ɑː n
NYLONS	ˈn a ɪ ˌl ɑː n z
NYLUND	ˈn a ɪ l ə n d
NYMAN	ˈn a ɪ m ə n
NYMEX	ˈn a ɪ ˌm ɛ k s
NYMPH	ˈn ɪ m f
NYMPHOMANIAC	ˌn ɪ m f o ʊ ˈm e ɪ n iː ˌæ k
NYMPHOMANIACS	ˌn ɪ m f o ʊ ˈm e ɪ n iː ˌæ k s
NYMPHS	ˈn ɪ m f s
NYNEX	ˈn a ɪ ˌn ɛ k s
NYNEX'S	ˈn a ɪ ˌn ɛ k s ɪ z
NYPD	ˌɛ n ˈw a ɪ ˌp iː ˌd iː
NYQUIST	ˈn a ɪ k w ɪ s t
NYSSA	ˈn ɪ s ə
NYSTROM	ˈn a ɪ s t r ə m
NYX	ˈn ɪ k s
N_WORDS	ˈɛ n ˈw ɝː d z
O	ˈo ʊ
O'	ˈo ʊ
O'BANION	o ʊ ˈb æ n j ə n
O'BANNON	o ʊ ˈb æ n ə n
O'BARA	o ʊ ˈb ɑː r ə
O'BARR	o ʊ ˈb ɑː r
O'BEIRNE	o ʊ ˈb ɝː n
O'BERG	o ʊ ˈb ɝː g
O'BERLE	o ʊ ˈb ɝː ə l
O'BERRY	o ʊ ˈb ɛ r i
O'BOYLE	o ʊ ˈb ɔ ɪ l
O'BRADOVICH	o ʊ ˈb r æ d ə v ɪ t ʃ
O'BRECHT	ˈo ʊ b r ɛ k t
O'BREGON	o ʊ ˈb r ɛ g ə n
O'BREMSKI	o ʊ ˈb r ɛ m s k i
O'BRENOVICH	o ʊ ˈb r ɛ n ə v ɪ t ʃ
O'BRIAN	o ʊ ˈb r a ɪ ə n
O'BRIANT	o ʊ ˈb r a ɪ ə n t
O'BRIEN	o ʊ ˈb r a ɪ ɪ n
O'BRIEN'S	o ʊ ˈb r a ɪ ɪ n z
O'BRINGER	o ʊ ˈb r ɪ ŋ ˌg ɝː
O'BRINSKY	o ʊ ˈb r ɪ n s k i
O'BRYAN	o ʊ ˈb r a ɪ ə n
O'BRYANT	o ʊ ˈb r a ɪ ə n t
O'BYRNE	o ʊ ˈb ɝː n
O'CALLAGHAN	o ʊ ˈk æ l ə g ə n
O'CALLAHAN	o ʊ ˈk æ l ə ˌh æ n
O'CAMPO	o ʊ ˈk æ m p o ʊ
O'CANA	o ʊ ˈk æ n ə
O'CANAS	o ʊ ˈk æ n ə z
O'CARROLL	o ʊ ˈk æ r ə l
O'CARROLL	o ʊ ˈk ɛ r ə l
O'CILLA	o ʊ ˈs ɪ l ə
O'CLAIR	o ʊ ˈk l ɝː
O'CLOCK	ə ˈk l ɑː k
O'CONNELL	o ʊ ˈk ɑː n ə l
O'CONNER	o ʊ ˈk ɑː n ɝ
O'CONNER'S	o ʊ ˈk ɑː n ɝ z
O'CONNOR	o ʊ ˈk ɑː n ɝ
O'CONNOR'S	o ʊ ˈk ɑː n ɝ z
O'DAY	o ʊ ˈd e ɪ
O'DEA	o ʊ ˈd e ɪ
O'DELI	o ʊ ˈd ɛ l i
O'DELL	o ʊ ˈd ɛ l
O'DELL'S	o ʊ ˈd ɛ l z
O'DIORNE	o ʊ d ˈj ɔ r n i
O'DIORNE	o ʊ d ˈj ɔ r n
O'DOHERTY	o ʊ ˈd ɑː ɝ t i
O'DOHERTY	o ʊ ˈd o ʊ ɝ t i
O'DONALD	o ʊ ˈd ɑː n ə l d
O'DONNEL	o ʊ ˈd ɑː n ə l
O'DONNELL	o ʊ ˈd ɑː n ə l
O'DONNELL'S	o ʊ ˈd ɑː n ə l z
O'DONOGHUE	o ʊ ˈd ɑː n ə h uː
O'DONOGHUE	o ʊ ˈd ɑː n ə h j uː
O'DONOHUE	o ʊ ˈd ɑː n ə h j uː
O'DONOVAN	o ʊ ˈd ɑː n ə v ə n
O'DOUGHERTY	o ʊ ˈd ɑː h ɝ t i
O'DOUGHERTY	o ʊ ˈd ɑː ɝ t i
O'DOWD	o ʊ ˈd a ʊ d
O'DRISCOLL	o ʊ ˈd r ɪ s k ɑː l
O'DWYER	o ʊ ˈd w a ɪ r
O'FALLON	o ʊ ˈf æ l ə n
O'FARRELL	o ʊ ˈf æ r ə l
O'FIVE	o ʊ ˈf a ɪ v
O'FLAHERTY	o ʊ ˈf l e ɪ h ɝ t i
O'FLAHERTY	o ʊ ˈf l e ɪ ɝ t i
O'FLYNN	o ʊ ˈf l ɪ n
O'GLOVE	o ʊ ˈg l ʌ v
O'GORMAN	o ʊ ˈg ɔ r m ə n
O'GRADY	o ʊ ˈg r e ɪ d i
O'GRADY'S	o ʊ ˈg r e ɪ d iː z
O'GUIN	o ʊ ˈg uː iː n
O'GUINN	o ʊ ˈg w ɪ n
O'HAGAN	o ʊ ˈh ɑː g ɑː n
O'HAGAN	o ʊ ˈh e ɪ g ə n
O'HAIR	o ʊ ˈh ɛ r
O'HALLARON	o ʊ ˈh æ l ɝ ə n
O'HALLORAN	o ʊ ˈh æ l ɝ ə n
O'HALLORON	o ʊ ˈh æ l ɝ ə n
O'HANESIAN	o ʊ h ə ˈn ɛ ʒ ɪ n
O'HANIAN	o ʊ ˈh e ɪ n iː ə n
O'HANLON	o ʊ ˈh æ n l ə n
O'HARA	o ʊ ˈh ɛ r ə
O'HARA'S	o ʊ ˈh ɛ r ə z
O'HARE	o ʊ ˈh ɛ r
O'HARRA	o ʊ ˈh ɝː ə
O'HASHI	o ʊ ˈh ɑː ʃ i
O'HAVER	o ʊ ˈh e ɪ v ɝ
O'HEARN	o ʊ ˈh ɝː n
O'HERN	o ʊ ˈh ɝː n
O'HERRON	o ʊ ˈh ɛ r ə n
O'KANE	o ʊ ˈk e ɪ n
O'KEEFE	o ʊ ˈk iː f
O'KEEFFE	o ʊ ˈk iː f
O'KEEFFE'S	o ʊ ˈk iː f s
O'KELLEY	o ʊ ˈk ɛ l i
O'KELLY	o ʊ ˈk ɛ l i
O'KESON	o ʊ ˈk iː s ə
O'KICKI	o ʊ ˈk ɪ k i
O'LAGUE	o ʊ ˈl e ɪ g
O'LAUGHLIN	o ʊ ˈl ɔ k l ɪ n
O'LEAR	o ʊ ˈl ɪ r
O'LEARY	o ʊ ˈl ɪ r i
O'LEARY'S	o ʊ ˈl ɪ r iː z
O'LOUGHLIN	o ʊ ˈl a ʊ k l ɪ n
O'MAHONEY	o ʊ m ə ˈh o ʊ n i
O'MAHONY	o ʊ m ə ˈh o ʊ n i
O'MALLEY	o ʊ ˈm æ l i
O'MARA	o ʊ ˈm ɑː r ə
O'MARSKA	o ʊ ˈm ɑː r s k ə
O'MEARA	o ʊ ˈm iː r ə
O'MEARA	o ʊ ˈm ɑː r ə
O'MELVENY	o ʊ ˈm ɛ l v ə n i
O'MORI	o ʊ ˈm ɔ r i
O'NEAL	o ʊ ˈn iː l
O'NEIL	o ʊ ˈn iː l
O'NEILL	o ʊ ˈn iː l
O'NEILL'S	o ʊ ˈn iː l z
O'NUTS	o ʊ ˈn ʌ t s
O'NUTS	ə ˈn ʌ t s
O'QUINN	o ʊ ˈk w ɪ n
O'REILLY	o ʊ ˈr a ɪ l i
O'RILEY	o ʊ ˈr a ɪ l i
O'ROARK	o ʊ ˈr ɔ r k
O'ROURKE	o ʊ ˈr ɔ r k
O'S	ˈo ʊ z
O'SHAUGHNESSY	ˌo ʊ ˈʃ ɑː n ɪ s i
O'SHEA	ˌo ʊ ˈʃ e ɪ
O'SHELL	o ʊ ˈʃ ɛ l
O'SMARTY	ˌo ʊ ˈs m ɑː r t i
O'STEEN	o ʊ ˈs t iː n
O'SULLIVAN	o ʊ ˈs ʌ l ə v ə n
O'TOOLE	o ʊ ˈt uː l
O.	ˈo ʊ
O.'S	ˈo ʊ z
O.S	ˈo ʊ z
O.S'	ˈo ʊ z
OAD	ˈo ʊ ˈe ɪ ˈd iː
OAHU	ˌo ʊ ˈɑː h uː
OAK	ˈo ʊ k
OAK'S	ˈo ʊ k s
OAKAR	ˈo ʊ ˌk ɑː r
OAKBROOK	ˈo ʊ k ˌb r ʊ k
OAKDALE	ˈo ʊ k ˌd e ɪ l
OAKES	ˈo ʊ k s
OAKEY	ˈo ʊ k i
OAKITE	ˈo ʊ ˌk a ɪ t
OAKLAND	ˈo ʊ k l ə n d
OAKLAND'S	ˈo ʊ k l ə n d z
OAKLEAF	ˈo ʊ ˌk l iː f
OAKLEY	ˈo ʊ k l i
OAKLEY'S	ˈo ʊ k l iː z
OAKMAN	ˈo ʊ k m ə n
OAKMARK	ˈo ʊ k ˌm ɑː r k
OAKMONT	ˈo ʊ k ˌm ɑː n t
OAKRIDGE	ˈo ʊ ˌk r ɪ d ʒ
OAKS	ˈo ʊ k s
OAKS'	ˈo ʊ k s
OAKVILLE	ˈo ʊ k ˌv ɪ l
OAKWOOD	ˈo ʊ ˌk w ʊ d
OAKY	ˈo ʊ k i
OANA	ˈo ʊ n ə
OANH	ˈo ʊ n
OAR	ˈɔ r
OARED	ˈɔ r d
OARLOCK	ˈɔ r ˌl ɑː k
OARS	ˈɔ r z
OARSMAN	ˈɔ r z m ə n
OAS	ˈo ʊ ˈe ɪ ˈɛ s
OASES	o ʊ ˈe ɪ s iː z
OASIS	o ʊ ˈe ɪ s ɪ s
OAT	ˈo ʊ t
OATES	ˈo ʊ t s
OATH	ˈo ʊ θ
OATHOUT	ˈo ʊ ˌθ a ʊ t
OATHS	ˈo ʊ ð z
OATHS	ˈo ʊ θ s
OATIS	ˈo ʊ t ɪ s
OATLEY	ˈo ʊ t l i
OATMAN	ˈo ʊ t m ə n
OATMEAL	ˈo ʊ t ˌm iː l
OATS	ˈo ʊ t s
OAXACA	ˈo ʊ k s ə k ə
OBA	ˈo ʊ b ə
OBADIAH	ˌo ʊ b ə ˈd a ɪ ə
OBAMA	ˌo ʊ ˈb ɑː m ə
OBAMA'S	ˌo ʊ ˈb ɑː m ə z
OBANDO	o ʊ ˈb æ n d o ʊ
OBANION	o ʊ ˈb æ n j ə n
OBANNON	o ʊ ˈb æ n ə n
OBAR	ə ˈb ɑː r
OBARA	o ʊ ˈb ɑː r ə
OBARR	o ʊ ˈb ɑː r
OBDURATE	ˈɑː b d ɝ ə t
OBEDIENCE	o ʊ ˈb iː d iː ə n s
OBEDIENT	o ʊ ˈb iː d iː ə n t
OBEDIENTLY	o ʊ ˈb iː d iː ə n t l i
OBEDIENTLY	o ʊ ˈb iː d j ə n t l i
OBEID	o ʊ ˈb a ɪ d
OBEIRNE	o ʊ ˈb ɝː r n
OBEISANCE	o ʊ ˈb e ɪ s ə n s
OBELIA	o ʊ ˈb ɛ l iː ə
OBENCHAIN	ˈɑː b ɪ n k a ɪ n
OBENSHAIN	ˈɑː b ɪ n ʃ a ɪ n
OBER	ˈo ʊ b ɝ
OBERBECK	ˈo ʊ b ɝ b ɛ k
OBERDORF	ˈo ʊ b ɝ d ɔ r f
OBERG	ˈo ʊ b ɝ g
OBERHAUS	ˈo ʊ b ɝ h a ʊ s
OBERHAUSEN	ˈo ʊ b ɝ ˌh a ʊ z ə n
OBERHELMAN	ˈo ʊ b ɝ h ə l m ə n
OBERHOLTZER	ˈo ʊ b ɝ h o ʊ l t z ɝ
OBERLANDER	ˈo ʊ b ɝ l ə n d ɝ
OBERLE	ˈo ʊ b ɝ ə l
OBERLIN	ˈo ʊ b ɝ l ɪ n
OBERLY	ˈo ʊ b ɝ l i
OBERMAIER	ˈo ʊ b ɝ ˌm a ɪ r
OBERMAN	ˈo ʊ b ɝ m ə n
OBERMEIER	ˈo ʊ b ɝ m a ɪ ɝ
OBERMEYER	ˈo ʊ b ɝ m a ɪ ɝ
OBERMILLER	ˈo ʊ b ɝ m ɪ l ɝ
OBERON	ˈo ʊ b ɝ ˌɑː n
OBERRY	o ʊ ˈb ɛ r i
OBERST	ˈo ʊ b ɝ s t
OBERSTAR	ˈo ʊ b ɝ ˌs t ɑː r
OBERT	ˈɑː b ɝ t
OBERWEIS	ˈo ʊ b ɝ ˌw a ɪ s
OBESE	o ʊ ˈb iː s
OBESE	ə ˈb iː s
OBESITY	o ʊ ˈb iː s ə t i
OBESITY	ə ˈb iː s ə t i
OBEY	o ʊ ˈb e ɪ
OBEYED	o ʊ ˈb e ɪ d
OBEYING	o ʊ ˈb e ɪ ɪ ŋ
OBEYS	o ʊ ˈb e ɪ z
OBFUSCATE	ˈɑː b f ə ˌs k e ɪ t
OBFUSCATION	ˌɑː b f ə ˈs k e ɪ ʃ ə n
OBIE	ˈo ʊ b i
OBISPO	o ʊ ˈb ɪ s p o ʊ
OBIT	ˈo ʊ b ɪ t
OBIT	o ʊ ˈb ɪ t
OBITS	ˈo ʊ b ɪ t s
OBITS	o ʊ ˈb ɪ t s
OBITUARIES	o ʊ ˈb ɪ t ʃ uː ˌɛ r iː z
OBITUARY	o ʊ ˈb ɪ t ʃ uː ˌɛ r i
OBJECT	ˈɑː b d ʒ ɛ k t
OBJECT	ə b ˈd ʒ ɛ k t
OBJECTED	ə b ˈd ʒ ɛ k t ə d
OBJECTING	ə b ˈd ʒ ɛ k t ɪ ŋ
OBJECTION	ə b ˈd ʒ ɛ k ʃ ə n
OBJECTION'S	ə b ˈd ʒ ɛ k ʃ ə n z
OBJECTIONABLE	ə b ˈd ʒ ɛ k ʃ ə n ə b ə l
OBJECTIONS	ə b ˈd ʒ ɛ k ʃ ə n z
OBJECTIVE	ə b ˈd ʒ ɛ k t ɪ v
OBJECTIVELY	ɑː b ˈd ʒ ɛ k t ɪ v l i
OBJECTIVES	ə b ˈd ʒ ɛ k t ɪ v z
OBJECTIVITY	ˌɑː b d ʒ ɛ k ˈt ɪ v ɪ t i
OBJECTOR	ə b ˈd ʒ ɛ k t ɝ
OBJECTORS	ə b ˈd ʒ ɛ k t ɝ z
OBJECTS	ˈɑː b d ʒ ɛ k t s
OBJECTS	ə b ˈd ʒ ɛ k t s
OBLAK	ˈɑː b l ə k
OBLAK	o ʊ ˈb l æ k
OBLANDER	ˈɑː b l ə n d ɝ
OBLAST	ˈɑː b l æ s t
OBLATE	ɑː ˈb l e ɪ t
OBLATE	ˈɑː b l e ɪ t
OBLIGATE	ˈɑː b l ə ˌg e ɪ t
OBLIGATED	ˈɑː b l ə ˌg e ɪ t ɪ d
OBLIGATES	ˈɑː b l ə ˌg e ɪ t s
OBLIGATING	ˈɑː b l ə ˌg e ɪ t ɪ ŋ
OBLIGATION	ˌɑː b l ə ˈg e ɪ ʃ ə n
OBLIGATIONS	ˌɑː b l ə ˈg e ɪ ʃ ə n z
OBLIGATORY	ə ˈb l ɪ g ə ˌt ɔ r i
OBLIGE	ə ˈb l a ɪ d ʒ
OBLIGED	ə ˈb l a ɪ d ʒ d
OBLIGES	ə ˈb l a ɪ d ʒ ɪ z
OBLIGING	ə ˈb l a ɪ d ʒ ɪ ŋ
OBLIGINGLY	ə ˈb l a ɪ d ʒ ɪ ŋ l i
OBLINGER	ˈo ʊ b ə l ɪ ŋ ɝ
OBLINGER	ˈo ʊ b l ɪ ŋ ɝ
OBLIQUE	ə ˈb l iː k
OBLIQUELY	ə ˈb l iː k l i
OBLITERATE	ə ˈb l ɪ t ɝ ˌe ɪ t
OBLITERATED	ə ˈb l ɪ t ɝ ˌe ɪ t ɪ d
OBLITERATES	ə ˈb l ɪ t ɝ ˌe ɪ t s
OBLITERATING	ə ˈb l ɪ t ɝ ˌe ɪ t ɪ ŋ
OBLITERATION	ə ˌb l ɪ t ɝ ˈe ɪ ʃ ə n
OBLIVION	ə ˈb l ɪ v iː ə n
OBLIVIOUS	ə ˈb l ɪ v iː ə s
OBLONG	ˈɑː b l ɔ ŋ
OBNOXIOUS	ɑː b ˈn ɑː k ʃ ə s
OBOE	ˈo ʊ b o ʊ
OBOIST	ˈo ʊ b o ʊ ə s t
OBON	ˈo ʊ b ə n
OBOYLE	o ʊ ˈb ɔ ɪ l
OBRADOVICH	o ʊ ˈb r æ d ə v ɪ t ʃ
OBRECHT	ˈo ʊ b r ɪ k t
OBREGON	ˈɑː b r ɪ g ə n
OBREMSKI	o ʊ ˈb r ɛ m s k i
OBREMSKY	o ʊ ˈb r ɛ m s k i
OBRENOVICH	o ʊ ˈb r ɛ n ə v ɪ t ʃ
OBRIAN	o ʊ ˈb r a ɪ ə n
OBRIANT	o ʊ ˈb r a ɪ ə n t
OBRIEN	o ʊ ˈb r a ɪ ɪ n
OBRINGER	ˈo ʊ b r ɪ ŋ ɝ
OBRINSKY	o ʊ ˈb r ɪ n s k i
OBRYAN	o ʊ ˈb r a ɪ ə n
OBRYANT	o ʊ ˈb r a ɪ ə n t
OBSCENE	ɑː b ˈs iː n
OBSCENE	ə b ˈs iː n
OBSCENELY	ɑː b ˈs iː n ə l i
OBSCENELY	ɑː b ˈs iː n l i
OBSCENITIES	ɑː b ˈs ɛ n ɪ t iː z
OBSCENITY	ə b ˈs ɛ n ɪ t i
OBSCURE	ə b s ˈk j ʊ r
OBSCURED	ə b s ˈk j ʊ r d
OBSCURES	ə b s ˈk j ʊ r z
OBSCURING	ə b s ˈk j ʊ r ɪ ŋ
OBSCURITY	ə b s ˈk j ʊ r ə t i
OBSEQUIOUS	ə b ˈs iː k w iː ə s
OBSERVABLE	ə b ˈz ɝː v ə b ə l
OBSERVABLES	ə b ˈz ɝː v ə b ə l z
OBSERVANCE	ə b ˈz ɝː v ə n s
OBSERVANCES	ə b ˈz ɝː v ə n s ɪ z
OBSERVANT	ə b ˈz ɝː v ə n t
OBSERVATEUR	ɑː b ˌz ɝː v ə ˈt ʊ r
OBSERVATION	ˌɑː b z ɝ ˈv e ɪ ʃ ə n
OBSERVATIONS	ˌɑː b z ɝ ˈv e ɪ ʃ ə n z
OBSERVATORIES	ə b ˈz ɝː v ə ˌt ɔ r iː z
OBSERVATORY	ə b ˈz ɝː v ə ˌt ɔ r i
OBSERVATORY'S	ə b ˈz ɝː v ə ˌt ɔ r iː z
OBSERVE	ə b ˈz ɝː v
OBSERVED	ə b ˈz ɝː v d
OBSERVER	ə b ˈz ɝː v ɝ
OBSERVERS	ə b ˈz ɝː v ɝ z
OBSERVES	ə b ˈz ɝː v z
OBSERVING	ə b ˈz ɝː v ɪ ŋ
OBSESS	ə b ˈs ɛ s
OBSESSED	ə b ˈs ɛ s t
OBSESSES	ə b ˈs ɛ s ɪ z
OBSESSING	ə b ˈs ɛ s ɪ ŋ
OBSESSION	ə b ˈs ɛ ʃ ə n
OBSESSIONAL	ə b ˈs ɛ ʃ ə n ə l
OBSESSIONS	ə b ˈs ɛ ʃ ə n z
OBSESSIVE	ə b ˈs ɛ s ɪ v
OBSESSIVELY	ɑː b ˈs ɛ s ɪ v l i
OBSHCHESTVENNOM	ˌɑː b ʃ ə s t ˈv ɛ n ə m
OBSIDIAN	ə b ˈs ɪ d iː ə n
OBSOLESCENCE	ˌɑː b s ə ˈl ɛ s ə n s
OBSOLESCENT	ˌɑː b s ə ˈl ɛ s ə n t
OBSOLETE	ˈɑː b s ə ˌl iː t
OBSOLETE	ˌɑː b s ə ˈl iː t
OBSOLETES	ˌɑː b s ə ˈl iː t s
OBST	ˈɑː b s t
OBSTACLE	ˈɑː b s t ə k ə l
OBSTACLES	ˈɑː b s t ə k ə l z
OBSTETRIC	ə b ˈs t ɛ t r ɪ k
OBSTETRICAL	ə b ˈs t ɛ t r ɪ k ə l
OBSTETRICIAN	ˌɑː b s t ə ˈt r ɪ ʃ ə n
OBSTETRICIANS	ˌɑː b s t ə ˈt r ɪ ʃ ə n z
OBSTETRICS	ə b ˈs t ɛ t r ɪ k s
OBSTFELD	ˈɑː b s t ˌf ɛ l d
OBSTINACY	ˈɑː b s t ə n ə s i
OBSTINATE	ˈɑː b s t ə n ə t
OBSTREPEROUS	ə b ˈs t r ɛ p ɝ ə s
OBSTRUCT	ə b ˈs t r ʌ k t
OBSTRUCTED	ə b ˈs t r ʌ k t ɪ d
OBSTRUCTING	ə b ˈs t r ʌ k t ɪ ŋ
OBSTRUCTION	ə b ˈs t r ʌ k ʃ ə n
OBSTRUCTIONISM	ə b ˈs t r ʌ k ʃ ə ˌn ɪ z ə m
OBSTRUCTIONIST	ə b ˈs t r ʌ k ʃ ə n ə s t
OBSTRUCTIONIST	ə b ˈs t r ʌ k ʃ ə n ɪ s t
OBSTRUCTIONISTS	ə b ˈs t r ʌ k ʃ ə n ə s t s
OBSTRUCTIONISTS	ə b ˈs t r ʌ k ʃ ə n ɪ s t s
OBSTRUCTIONS	ə b ˈs t r ʌ k ʃ ə n z
OBSTRUCTIVE	ə b ˈs t r ʌ k t ɪ v
OBSTRUCTS	ə b ˈs t r ʌ k t s
OBTAIN	ə b ˈt e ɪ n
OBTAINABLE	ə b ˈt e ɪ n ə b ə l
OBTAINED	ə b ˈt e ɪ n d
OBTAINING	ə b ˈt e ɪ n ɪ ŋ
OBTAINS	ə b ˈt e ɪ n z
OBTRUDE	ə b ˈt r uː d
OBTRUDES	ə b ˈt r uː d z
OBTRUSIVE	ə b ˈt r uː s ɪ v
OBTUSE	ɑː b ˈt uː s
OBUCHOWSKI	o ʊ b j uː ˈk a ʊ s k i
OBUCHOWSKI	o ʊ b uː ˈk a ʊ s k i
OBUCHOWSKI	o ʊ b uː ˈt ʃ o ʊ s k i
OBVERSE	ə b ˈv ɝː s
OBVIATE	ˈɑː b v iː ˌe ɪ t
OBVIATED	ˈɑː b v iː ˌe ɪ t ə d
OBVIATES	ˈɑː b v iː ˌe ɪ t s
OBVIATING	ˈɑː b v iː ˌe ɪ t ɪ ŋ
OBVIOUS	ˈɑː b v iː ə s
OBVIOUSLY	ˈɑː b v iː ə s l i
OBYRNE	o ʊ ˈb ɝː n
OCAIN	o ʊ k ɑː ˈiː n
OCALA	o ʊ ˈk æ l ə
OCALLAGHAN	o ʊ ˈk æ l ə g ə n
OCALLAHAN	o ʊ ˈk æ l ə ˌh æ n
OCAMPO	o ʊ ˈk æ m p o ʊ
OCANA	o ʊ ˈk æ n ə
OCANAS	o ʊ ˈk æ n ə z
OCARROLL	o ʊ ˈk æ r ə l
OCARROLL	o ʊ ˈk ɛ r ə l
OCASIO	o ʊ ˈk ɑː s iː o ʊ
OCAW	o ʊ ˈk ɔ
OCAW'S	o ʊ ˈk ɔ z
OCCASION	ə ˈk e ɪ ʒ ə n
OCCASIONAL	ɔ ˈk e ɪ ʒ ə n ə l
OCCASIONALLY	ɔ ˈk e ɪ ʒ ə n ə ˌl iː
OCCASIONED	ɔ ˈk e ɪ ʒ ə n d
OCCASIONS	ɔ ˈk e ɪ ʒ ə n z
OCCHINO	ˌo ʊ ˈk iː ˌn o ʊ
OCCHIPINTI	o ʊ k iː ˈp iː n t i
OCCHOA	ˌo ʊ ˈt ʃ o ʊ ɑː
OCCHOA'S	ˌo ʊ ˈt ʃ o ʊ ɑː z
OCCIDENT	ˈɑː k s ə ˌd ɛ n t
OCCIDENTAL	ˌɑː k s ə ˈd ɛ n t ə l
OCCIDENTAL'S	ˌɑː k s ə ˈd ɛ n t ə l z
OCCIDENTALE	ˌɑː k s ɪ ˈd ɛ n t ə l
OCCIDENTALE'S	ˌɑː k s ɪ ˈd ɛ n t ə l z
OCCIPITAL	ɑː k ˈs ɪ p ə t ə l
OCCLUSION	ə ˈk l uː ʒ ə n
OCCULT	ə ˈk ʌ l t
OCCUPANCY	ˈɑː k j ə p ə n s i
OCCUPANT	ˈɑː k j ə p ə n t
OCCUPANTS	ˈɑː k j ə p ə n t s
OCCUPATION	ˌɑː k j ə ˈp e ɪ ʃ ə n
OCCUPATIONAL	ɑː k j ə ˈp e ɪ ʃ ə n ə l
OCCUPATIONS	ˌɑː k j ə ˈp e ɪ ʃ ə n z
OCCUPIED	ˈɑː k j ə ˌp a ɪ d
OCCUPIER	ˈɑː k j ə ˌp a ɪ ɝ
OCCUPIERS	ˈɑː k j ə ˌp a ɪ ɝ z
OCCUPIES	ˈɑː k j ə ˌp a ɪ z
OCCUPY	ˈɑː k j ə ˌp a ɪ
OCCUPYING	ˈɑː k j ə ˌp a ɪ ɪ ŋ
OCCUR	ə ˈk ɝː
OCCURRED	ə ˈk ɝː d
