aarónica	aaˈɾonika
escribírosla	eskɾiˈβiɾozla
escribíroslas	eskɾiˈβiɾozlas
escribíroslo	eskɾiˈβiɾozlo
escribíroslos	eskɾiˈβiɾozlos
escribírsela	eskɾiˈβiɾsela
escribírselas	eskɾiˈβiɾselas
escribírselo	eskɾiˈβiɾselo
escribírselos	eskɾiˈβiɾselos
escribírtela	eskɾiˈβiɾtela
escribírtelas	eskɾiˈβiɾtelas
escribírtelo	eskɾiˈβiɾtelo
escribírtelos	eskɾiˈβiɾtelos
escribís	eskɾiˈβis
escripia	eskɾipja
escripias	eskɾipjas
escrita	eskɾita
escritas	eskɾitas
escritilla	eskɾitiʎa
escritillas	eskɾitiʎas
escrito	eskɾito
escritor	eskɾitoɾ
escritora	eskɾitoɾa
escritoras	eskɾitoɾas
escritores	eskɾitoɾes
escritorio	eskɾitoɾjo
escritorios	eskɾitoɾjos
escritorzuela	eskɾitoɾswela
escritorzuelas	eskɾitoɾswelas
escritorzuelo	eskɾitoɾswelo
escritorzuelos	eskɾitoɾswelos
escritos	eskɾitos
escritura	eskɾituɾa
escrituraba	eskɾituɾaβa
escriturabais	eskɾituɾaβais
escrituraban	eskɾituɾaβan
escriturabas	eskɾituɾaβas
escriturad	eskɾituɾað
escriturada	eskɾituɾaða
escrituradas	eskɾituɾaðas
escriturado	eskɾituɾaðo
escriturados	eskɾituɾaðos
escrituramos	eskɾituɾamos
escrituran	eskɾituɾan
escriturando	eskɾituɾando
escriturar	eskɾituɾaɾ
escriturara	eskɾituɾaɾa
escriturarais	eskɾituɾaɾais
escrituraran	eskɾituɾaɾan
escrituraras	eskɾituɾaɾas
escriturare	eskɾituɾaɾe
escriturareis	eskɾituɾaɾeis
escrituraremos	eskɾituɾaɾemos
escrituraren	eskɾituɾaɾen
escriturares	eskɾituɾaɾes
escrituraron	eskɾituɾaɾon
escriturará	eskɾituɾaˈɾa
escriturarán	eskɾituɾaˈɾan
escriturarás	eskɾituɾaˈɾas
escrituraré	eskɾituɾaˈɾe
escrituraréis	eskɾituɾaˈɾeis
escrituraría	eskɾituɾaˈɾia
escrituraríais	eskɾituɾaˈɾiais
escrituraríamos	eskɾituɾaˈɾiamos
escriturarían	eskɾituɾaˈɾian
escriturarías	eskɾituɾaˈɾias
escrituras	eskɾituɾas
escriturase	eskɾituɾase
escrituraseis	eskɾituɾaseis
escriturasen	eskɾituɾasen
escriturases	eskɾituɾases
escrituraste	eskɾituɾaste
escriturasteis	eskɾituɾasteis
escriture	eskɾituɾe
escrituremos	eskɾituɾemos
escrituren	eskɾituɾen
escritures	eskɾituɾes
escrituro	eskɾituɾo
escriturábamos	eskɾituˈɾaβamos
escrituráis	eskɾituˈɾais
escrituráramos	eskɾituˈɾaɾamos
escrituráremos	eskɾituˈɾaɾemos
escriturásemos	eskɾituˈɾasemos
escrituré	eskɾituˈɾe
escrituréis	eskɾituˈɾeis
escrituró	eskɾituˈɾo
escriño	eskɾiɲo
escriños	eskɾiɲos
escrofularia	eskɾofulaɾja
escrofularias	eskɾofulaɾjas
escrofulariácea	eskɾofulaˈɾjasea
escrofulariáceas	eskɾofulaˈɾjaseas
escrofulariáceo	eskɾofulaˈɾjaseo
escrofulariáceos	eskɾofulaˈɾjaseos
escrofulismo	eskɾofulizmo
escrofulismos	eskɾofulizmos
escroto	eskɾoto
escrotos	eskɾotos
escrupulete	eskɾupulete
escrupuletes	eskɾupuletes
escrupulice	eskɾupulise
escrupulicemos	eskɾupulisemos
escrupulicen	eskɾupulisen
escrupulices	eskɾupulises
escrupulicé	eskɾupuliˈse
escrupulicéis	eskɾupuliˈseis
escrupulillo	eskɾupuliʎo
escrupulillos	eskɾupuliʎos
escrupuliza	eskɾupulisa
escrupulizaba	eskɾupulisaβa
escrupulizabais	eskɾupulisaβais
escrupulizaban	eskɾupulisaβan
escrupulizabas	eskɾupulisaβas
escrupulizad	eskɾupulisað
escrupulizada	eskɾupulisaða
escrupulizadas	eskɾupulisaðas
escrupulizado	eskɾupulisaðo
escrupulizados	eskɾupulisaðos
escrupulizamos	eskɾupulisamos
escrupulizan	eskɾupulisan
escrupulizando	eskɾupulisando
escrupulizar	eskɾupulisaɾ
escrupulizara	eskɾupulisaɾa
escrupulizarais	eskɾupulisaɾais
escrupulizaran	eskɾupulisaɾan
escrupulizaras	eskɾupulisaɾas
escrupulizare	eskɾupulisaɾe
escrupulizareis	eskɾupulisaɾeis
escrupulizaremos	eskɾupulisaɾemos
escrupulizaren	eskɾupulisaɾen
escrupulizares	eskɾupulisaɾes
escrupulizaron	eskɾupulisaɾon
escrupulizará	eskɾupulisaˈɾa
escrupulizarán	eskɾupulisaˈɾan
escrupulizarás	eskɾupulisaˈɾas
escrupulizaré	eskɾupulisaˈɾe
escrupulizaréis	eskɾupulisaˈɾeis
escrupulizaría	eskɾupulisaˈɾia
escrupulizaríais	eskɾupulisaˈɾiais
escrupulizaríamos	eskɾupulisaˈɾiamos
escrupulizarían	eskɾupulisaˈɾian
escrupulizarías	eskɾupulisaˈɾias
escrupulizas	eskɾupulisas
escrupulizase	eskɾupulisase
escrupulizaseis	eskɾupulisaseis
escrupulizasen	eskɾupulisasen
escrupulizases	eskɾupulisases
escrupulizaste	eskɾupulisaste
escrupulizasteis	eskɾupulisasteis
escrupulizo	eskɾupuliso
escrupulizábamos	eskɾupuliˈsaβamos
escrupulizáis	eskɾupuliˈsais
escrupulizáramos	eskɾupuliˈsaɾamos
escrupulizáremos	eskɾupuliˈsaɾemos
escrupulizásemos	eskɾupuliˈsasemos
escrupulizó	eskɾupuliˈso
escrupulosa	eskɾupulosa
escrupulosamente	eskɾupulosamente
escrupulosas	eskɾupulosas
escrupulosidad	eskɾupulosiðað
escrupuloso	eskɾupuloso
escrupulosos	eskɾupulosos
escruta	eskɾuta
escrutaba	eskɾutaβa
escrutabais	eskɾutaβais
escrutaban	eskɾutaβan
escrutabas	eskɾutaβas
escrutad	eskɾutað
escrutada	eskɾutaða
escrutadas	eskɾutaðas
escrutado	eskɾutaðo
escrutador	eskɾutaðoɾ
escrutadora	eskɾutaðoɾa
escrutadoras	eskɾutaðoɾas
escrutadores	eskɾutaðoɾes
escrutados	eskɾutaðos
escrutamos	eskɾutamos
escrutan	eskɾutan
escrutando	eskɾutando
escrutar	eskɾutaɾ
escrutara	eskɾutaɾa
escrutarais	eskɾutaɾais
escrutaran	eskɾutaɾan
escrutaras	eskɾutaɾas
escrutare	eskɾutaɾe
escrutareis	eskɾutaɾeis
escrutaremos	eskɾutaɾemos
escrutaren	eskɾutaɾen
escrutares	eskɾutaɾes
escrutarla	eskɾutaɾla
escrutarlas	eskɾutaɾlas
escrutarle	eskɾutaɾle
escrutarles	eskɾutaɾles
escrutarlo	eskɾutaɾlo
escrutarlos	eskɾutaɾlos
escrutaron	eskɾutaɾon
escrutará	eskɾutaˈɾa
escrutarán	eskɾutaˈɾan
escrutarás	eskɾutaˈɾas
escrutaré	eskɾutaˈɾe
escrutaréis	eskɾutaˈɾeis
escrutaría	eskɾutaˈɾia
escrutaríais	eskɾutaˈɾiais
escrutaríamos	eskɾutaˈɾiamos
escrutarían	eskɾutaˈɾian
escrutarías	eskɾutaˈɾias
escrutas	eskɾutas
escrutase	eskɾutase
escrutaseis	eskɾutaseis
escrutasen	eskɾutasen
escrutases	eskɾutases
escrutaste	eskɾutaste
escrutasteis	eskɾutasteis
escrute	eskɾute
escrutemos	eskɾutemos
escruten	eskɾuten
escrutes	eskɾutes
escrutinio	eskɾutinjo
escrutinios	eskɾutinjos
escrutiñador	eskɾutiɲaðoɾ
escrutiñadora	eskɾutiɲaðoɾa
escrutiñadoras	eskɾutiɲaðoɾas
escrutiñadores	eskɾutiɲaðoɾes
escruto	eskɾuto
escrutábamos	eskɾuˈtaβamos
escrutáis	eskɾuˈtais
escrutándola	eskɾuˈtandola
escrutándolas	eskɾuˈtandolas
escrutándole	eskɾuˈtandole
escrutándoles	eskɾuˈtandoles
escrutándolo	eskɾuˈtandolo
escrutándolos	eskɾuˈtandolos
escrutáramos	eskɾuˈtaɾamos
escrutáremos	eskɾuˈtaɾemos
escrutásemos	eskɾuˈtasemos
escruté	eskɾuˈte
escrutéis	eskɾuˈteis
escrutó	eskɾuˈto
escríbase	eˈskɾiβase
escrófula	eˈskɾofula
escrófulas	eˈskɾofulas
escrúpulo	eˈskɾupulo
escrúpulos	eˈskɾupulos
escuadra	eskwaðɾa
escuadraba	eskwaðɾaβa
escuadrabais	eskwaðɾaβais
escuadraban	eskwaðɾaβan
escuadrabas	eskwaðɾaβas
escuadrad	eskwaðɾað
escuadrada	eskwaðɾaða
escuadradas	eskwaðɾaðas
escuadrado	eskwaðɾaðo
escuadrados	eskwaðɾaðos
escuadramos	eskwaðɾamos
escuadran	eskwaðɾan
escuadrando	eskwaðɾando
escuadrar	eskwaðɾaɾ
escuadrara	eskwaðɾaɾa
escuadrarais	eskwaðɾaɾais
escuadraran	eskwaðɾaɾan
escuadraras	eskwaðɾaɾas
escuadrare	eskwaðɾaɾe
escuadrareis	eskwaðɾaɾeis
escuadraremos	eskwaðɾaɾemos
escuadraren	eskwaðɾaɾen
escuadrares	eskwaðɾaɾes
escuadraron	eskwaðɾaɾon
escuadrará	eskwaðɾaˈɾa
escuadrarán	eskwaðɾaˈɾan
escuadrarás	eskwaðɾaˈɾas
escuadraré	eskwaðɾaˈɾe
escuadraréis	eskwaðɾaˈɾeis
escuadraría	eskwaðɾaˈɾia
escuadraríais	eskwaðɾaˈɾiais
escuadraríamos	eskwaðɾaˈɾiamos
escuadrarían	eskwaðɾaˈɾian
escuadrarías	eskwaðɾaˈɾias
escuadras	eskwaðɾas
escuadrase	eskwaðɾase
escuadraseis	eskwaðɾaseis
escuadrasen	eskwaðɾasen
escuadrases	eskwaðɾases
escuadraste	eskwaðɾaste
escuadrasteis	eskwaðɾasteis
escuadre	eskwaðɾe
escuadremos	eskwaðɾemos
escuadren	eskwaðɾen
escuadreo	eskwaðɾeo
escuadreos	eskwaðɾeos
escuadres	eskwaðɾes
escuadrilla	eskwaðɾiʎa
escuadrillas	eskwaðɾiʎas
escuadro	eskwaðɾo
escuadrona	eskwaðɾona
escuadronaba	eskwaðɾonaβa
escuadronabais	eskwaðɾonaβais
escuadronaban	eskwaðɾonaβan
escuadronabas	eskwaðɾonaβas
escuadronad	eskwaðɾonað
escuadronada	eskwaðɾonaða
escuadronadas	eskwaðɾonaðas
escuadronado	eskwaðɾonaðo
escuadronados	eskwaðɾonaðos
escuadronamos	eskwaðɾonamos
escuadronan	eskwaðɾonan
escuadronando	eskwaðɾonando
escuadronar	eskwaðɾonaɾ
escuadronara	eskwaðɾonaɾa
escuadronarais	eskwaðɾonaɾais
escuadronaran	eskwaðɾonaɾan
escuadronaras	eskwaðɾonaɾas
escuadronare	eskwaðɾonaɾe
escuadronareis	eskwaðɾonaɾeis
escuadronaremos	eskwaðɾonaɾemos
escuadronaren	eskwaðɾonaɾen
escuadronares	eskwaðɾonaɾes
escuadronaron	eskwaðɾonaɾon
escuadronará	eskwaðɾonaˈɾa
escuadronarán	eskwaðɾonaˈɾan
escuadronarás	eskwaðɾonaˈɾas
escuadronaré	eskwaðɾonaˈɾe
escuadronaréis	eskwaðɾonaˈɾeis
escuadronaría	eskwaðɾonaˈɾia
escuadronaríais	eskwaðɾonaˈɾiais
escuadronaríamos	eskwaðɾonaˈɾiamos
escuadronarían	eskwaðɾonaˈɾian
escuadronarías	eskwaðɾonaˈɾias
escuadronas	eskwaðɾonas
escuadronase	eskwaðɾonase
escuadronaseis	eskwaðɾonaseis
escuadronasen	eskwaðɾonasen
escuadronases	eskwaðɾonases
escuadronaste	eskwaðɾonaste
escuadronasteis	eskwaðɾonasteis
escuadroncete	eskwaðɾonsete
escuadroncetes	eskwaðɾonsetes
escuadrone	eskwaðɾone
escuadronemos	eskwaðɾonemos
escuadronen	eskwaðɾonen
escuadrones	eskwaðɾones
escuadronista	eskwaðɾonista
escuadronistas	eskwaðɾonistas
escuadrono	eskwaðɾono
escuadronábamos	eskwaðɾoˈnaβamos
escuadronáis	eskwaðɾoˈnais
escuadronáramos	eskwaðɾoˈnaɾamos
escuadronáremos	eskwaðɾoˈnaɾemos
escuadronásemos	eskwaðɾoˈnasemos
escuadroné	eskwaðɾoˈne
escuadronéis	eskwaðɾoˈneis
escuadronó	eskwaðɾoˈno
escuadros	eskwaðɾos
escuadrábamos	eskwaˈðɾaβamos
escuadráis	eskwaˈðɾais
escuadráramos	eskwaˈðɾaɾamos
escuadráremos	eskwaˈðɾaɾemos
escuadrásemos	eskwaˈðɾasemos
escuadré	eskwaˈðɾe
escuadréis	eskwaˈðɾeis
escuadría	eskwaˈðɾia
escuadrías	eskwaˈðɾias
escuadró	eskwaˈðɾo
escuadrón	eskwaˈðɾon
escualideces	eskwaliðeses
escualidez	eskwaliðes
escualo	eskwalo
escualor	eskwaloɾ
escualos	eskwalos
escucha	eskutʃa
escuchaba	eskutʃaβa
escuchabais	eskutʃaβais
escuchaban	eskutʃaβan
escuchabas	eskutʃaβas
escuchad	eskutʃað
escuchada	eskutʃaða
escuchadas	eskutʃaðas
escuchado	eskutʃaðo
escuchador	eskutʃaðoɾ
escuchadora	eskutʃaðoɾa
escuchadoras	eskutʃaðoɾas
escuchadores	eskutʃaðoɾes
escuchados	eskutʃaðos
escuchamos	eskutʃamos
escuchan	eskutʃan
escuchando	eskutʃando
escuchar	eskutʃaɾ
escuchara	eskutʃaɾa
escucharais	eskutʃaɾais
escucharan	eskutʃaɾan
escucharas	eskutʃaɾas
escuchare	eskutʃaɾe
escuchareis	eskutʃaɾeis
escucharemos	eskutʃaɾemos
escucharen	eskutʃaɾen
escuchares	eskutʃaɾes
escucharla	eskutʃaɾla
escucharlas	eskutʃaɾlas
escucharle	eskutʃaɾle
escucharles	eskutʃaɾles
escucharlo	eskutʃaɾlo
escucharlos	eskutʃaɾlos
escucharme	eskutʃaɾme
escucharnos	eskutʃaɾnos
escucharon	eskutʃaɾon
escucharos	eskutʃaɾos
escucharse	eskutʃaɾse
escucharte	eskutʃaɾte
escuchará	eskutʃaˈɾa
escucharán	eskutʃaˈɾan
escucharás	eskutʃaˈɾas
escucharé	eskutʃaˈɾe
escucharéis	eskutʃaˈɾeis
escucharía	eskutʃaˈɾia
escucharíais	eskutʃaˈɾiais
escucharíamos	eskutʃaˈɾiamos
escucharían	eskutʃaˈɾian
escucharías	eskutʃaˈɾias
escuchas	eskutʃas
escuchase	eskutʃase
escuchaseis	eskutʃaseis
escuchasen	eskutʃasen
escuchases	eskutʃases
escuchaste	eskutʃaste
escuchasteis	eskutʃasteis
escuche	eskutʃe
escuchemos	eskutʃemos
escuchen	eskutʃen
escuches	eskutʃes
escuchimizada	eskutʃimisaða
escuchimizadas	eskutʃimisaðas
escuchimizado	eskutʃimisaðo
escuchimizados	eskutʃimisaðos
escucho	eskutʃo
escuchos	eskutʃos
escuchábamos	eskuˈtʃaβamos
escucháis	eskuˈtʃais
escuchándola	eskuˈtʃandola
escuchándolas	eskuˈtʃandolas
escuchándole	eskuˈtʃandole
escuchándoles	eskuˈtʃandoles
escuchándolo	eskuˈtʃandolo
escuchándolos	eskuˈtʃandolos
escuchándome	eskuˈtʃandome
escuchándonos	eskuˈtʃandonos
escuchándoos	eskuˈtʃandoos
escuchándose	eskuˈtʃandose
escuchándote	eskuˈtʃandote
escucháramos	eskuˈtʃaɾamos
escucháremos	eskuˈtʃaɾemos
escuchásemos	eskuˈtʃasemos
escuché	eskuˈtʃe
escuchéis	eskuˈtʃeis
escuchó	eskuˈtʃo
escuda	eskuða
escudaba	eskuðaβa
escudabais	eskuðaβais
escudaban	eskuðaβan
escudabas	eskuðaβas
escudad	eskuðað
escudada	eskuðaða
escudadas	eskuðaðas
escudado	eskuðaðo
escudados	eskuðaðos
escudamos	eskuðamos
escudan	eskuðan
escudando	eskuðando
escudar	eskuðaɾ
escudara	eskuðaɾa
escudarais	eskuðaɾais
escudaran	eskuðaɾan
escudaras	eskuðaɾas
escudare	eskuðaɾe
escudareis	eskuðaɾeis
escudaremos	eskuðaɾemos
escudaren	eskuðaɾen
escudares	eskuðaɾes
escudarla	eskuðaɾla
escudarlas	eskuðaɾlas
escudarle	eskuðaɾle
escudarles	eskuðaɾles
escudarlo	eskuðaɾlo
escudarlos	eskuðaɾlos
escudarme	eskuðaɾme
escudarnos	eskuðaɾnos
escudaron	eskuðaɾon
escudaros	eskuðaɾos
escudarse	eskuðaɾse
escudarte	eskuðaɾte
escudará	eskuðaˈɾa
escudarán	eskuðaˈɾan
escudarás	eskuðaˈɾas
escudaré	eskuðaˈɾe
escudaréis	eskuðaˈɾeis
escudaría	eskuðaˈɾia
escudaríais	eskuðaˈɾiais
escudaríamos	eskuðaˈɾiamos
escudarían	eskuðaˈɾian
escudarías	eskuðaˈɾias
escudas	eskuðas
escudase	eskuðase
escudaseis	eskuðaseis
escudasen	eskuðasen
escudases	eskuðases
escudaste	eskuðaste
escudasteis	eskuðasteis
escudaño	eskuðaɲo
escudaños	eskuðaɲos
escude	eskuðe
escudemos	eskuðemos
escuden	eskuðen
escudera	eskuðeɾa
escuderaje	eskuðeɾaxe
escuderajes	eskuðeɾaxes
escuderas	eskuðeɾas
escuderea	eskuðeɾea
escudereaba	eskuðeɾeaβa
escudereabais	eskuðeɾeaβais
escudereaban	eskuðeɾeaβan
escudereabas	eskuðeɾeaβas
escuderead	eskuðeɾeað
escudereada	eskuðeɾeaða
escudereadas	eskuðeɾeaðas
escudereado	eskuðeɾeaðo
escudereados	eskuðeɾeaðos
escudereamos	eskuðeɾeamos
escuderean	eskuðeɾean
escudereando	eskuðeɾeando
escuderear	eskuðeɾeaɾ
escudereara	eskuðeɾeaɾa
escuderearais	eskuðeɾeaɾais
escuderearan	eskuðeɾeaɾan
escuderearas	eskuðeɾeaɾas
escudereare	eskuðeɾeaɾe
escudereareis	eskuðeɾeaɾeis
escuderearemos	eskuðeɾeaɾemos
escuderearen	eskuðeɾeaɾen
escudereares	eskuðeɾeaɾes
escuderearon	eskuðeɾeaɾon
escudereará	eskuðeɾeaˈɾa
escuderearán	eskuðeɾeaˈɾan
escuderearás	eskuðeɾeaˈɾas
escuderearé	eskuðeɾeaˈɾe
escuderearéis	eskuðeɾeaˈɾeis
escuderearía	eskuðeɾeaˈɾia
escuderearíais	eskuðeɾeaˈɾiais
escuderearíamos	eskuðeɾeaˈɾiamos
escuderearían	eskuðeɾeaˈɾian
escuderearías	eskuðeɾeaˈɾias
escudereas	eskuðeɾeas
escuderease	eskuðeɾease
escudereaseis	eskuðeɾeaseis
escudereasen	eskuðeɾeasen
escudereases	eskuðeɾeases
escudereaste	eskuðeɾeaste
escudereasteis	eskuðeɾeasteis
escuderee	eskuðeɾee
escudereemos	eskuðeɾeemos
escudereen	eskuðeɾeen
escuderees	eskuðeɾees
escudereo	eskuðeɾeo
escuderete	eskuðeɾete
escuderetes	eskuðeɾetes
escudereábamos	eskuðeɾeˈaβamos
escudereáis	eskuðeɾeˈais
escudereáramos	eskuðeɾeˈaɾamos
escudereáremos	eskuðeɾeˈaɾemos
escudereásemos	eskuðeɾeˈasemos
escudereé	eskuðeɾeˈe
escudereéis	eskuðeɾeˈeis
escudereó	eskuðeɾeˈo
escuderil	eskuðeɾil
escuderiles	eskuðeɾiles
escuderilmente	eskuðeɾilmente
escudero	eskuðeɾo
escuderones	eskuðeɾones
escuderos	eskuðeɾos
escudería	eskuðeˈɾia
escuderías	eskuðeˈɾias
escuderón	eskuðeˈɾon
escudes	eskuðes
escudete	eskuðete
escudetes	eskuðetes
escudilla	eskuðiʎa
escudillaba	eskuðiʎaβa
escudillabais	eskuðiʎaβais
escudillaban	eskuðiʎaβan
escudillabas	eskuðiʎaβas
escudillad	eskuðiʎað
escudillada	eskuðiʎaða
escudilladas	eskuðiʎaðas
escudillado	eskuðiʎaðo
escudillador	eskuðiʎaðoɾ
escudilladora	eskuðiʎaðoɾa
escudilladoras	eskuðiʎaðoɾas
escudilladores	eskuðiʎaðoɾes
escudillados	eskuðiʎaðos
escudillamos	eskuðiʎamos
escudillan	eskuðiʎan
escudillando	eskuðiʎando
escudillar	eskuðiʎaɾ
escudillara	eskuðiʎaɾa
escudillarais	eskuðiʎaɾais
escudillaran	eskuðiʎaɾan
escudillaras	eskuðiʎaɾas
escudillare	eskuðiʎaɾe
escudillareis	eskuðiʎaɾeis
escudillaremos	eskuðiʎaɾemos
escudillaren	eskuðiʎaɾen
escudillares	eskuðiʎaɾes
escudillaron	eskuðiʎaɾon
escudillará	eskuðiʎaˈɾa
escudillarán	eskuðiʎaˈɾan
escudillarás	eskuðiʎaˈɾas
escudillaré	eskuðiʎaˈɾe
escudillaréis	eskuðiʎaˈɾeis
escudillaría	eskuðiʎaˈɾia
escudillaríais	eskuðiʎaˈɾiais
escudillaríamos	eskuðiʎaˈɾiamos
escudillarían	eskuðiʎaˈɾian
escudillarías	eskuðiʎaˈɾias
escudillas	eskuðiʎas
escudillase	eskuðiʎase
escudillaseis	eskuðiʎaseis
escudillasen	eskuðiʎasen
escudillases	eskuðiʎases
escudillaste	eskuðiʎaste
escudillasteis	eskuðiʎasteis
escudille	eskuðiʎe
escudillemos	eskuðiʎemos
escudillen	eskuðiʎen
escudilles	eskuðiʎes
escudillo	eskuðiʎo
escudillos	eskuðiʎos
escudillábamos	eskuðiˈʎaβamos
escudilláis	eskuðiˈʎais
escudilláramos	eskuðiˈʎaɾamos
escudilláremos	eskuðiˈʎaɾemos
escudillásemos	eskuðiˈʎasemos
escudillé	eskuðiˈʎe
escudilléis	eskuðiˈʎeis
escudilló	eskuðiˈʎo
escudo	eskuðo
escudos	eskuðos
escudriña	eskuðɾiɲa
escudriñaba	eskuðɾiɲaβa
escudriñabais	eskuðɾiɲaβais
escudriñaban	eskuðɾiɲaβan
escudriñabas	eskuðɾiɲaβas
escudriñable	eskuðɾiɲaβle
escudriñables	eskuðɾiɲaβles
escudriñad	eskuðɾiɲað
escudriñada	eskuðɾiɲaða
escudriñadas	eskuðɾiɲaðas
escudriñado	eskuðɾiɲaðo
escudriñador	eskuðɾiɲaðoɾ
escudriñadora	eskuðɾiɲaðoɾa
escudriñadoras	eskuðɾiɲaðoɾas
escudriñadores	eskuðɾiɲaðoɾes
escudriñados	eskuðɾiɲaðos
escudriñamiento	eskuðɾiɲamjento
escudriñamientos	eskuðɾiɲamjentos
escudriñamos	eskuðɾiɲamos
escudriñan	eskuðɾiɲan
escudriñando	eskuðɾiɲando
escudriñar	eskuðɾiɲaɾ
escudriñara	eskuðɾiɲaɾa
escudriñarais	eskuðɾiɲaɾais
escudriñaran	eskuðɾiɲaɾan
escudriñaras	eskuðɾiɲaɾas
escudriñare	eskuðɾiɲaɾe
escudriñareis	eskuðɾiɲaɾeis
escudriñaremos	eskuðɾiɲaɾemos
escudriñaren	eskuðɾiɲaɾen
escudriñares	eskuðɾiɲaɾes
escudriñarla	eskuðɾiɲaɾla
escudriñarlas	eskuðɾiɲaɾlas
escudriñarle	eskuðɾiɲaɾle
escudriñarles	eskuðɾiɲaɾles
escudriñarlo	eskuðɾiɲaɾlo
escudriñarlos	eskuðɾiɲaɾlos
escudriñaron	eskuðɾiɲaɾon
escudriñará	eskuðɾiɲaˈɾa
escudriñarán	eskuðɾiɲaˈɾan
escudriñarás	eskuðɾiɲaˈɾas
escudriñaré	eskuðɾiɲaˈɾe
escudriñaréis	eskuðɾiɲaˈɾeis
escudriñaría	eskuðɾiɲaˈɾia
escudriñaríais	eskuðɾiɲaˈɾiais
escudriñaríamos	eskuðɾiɲaˈɾiamos
escudriñarían	eskuðɾiɲaˈɾian
escudriñarías	eskuðɾiɲaˈɾias
escudriñas	eskuðɾiɲas
escudriñase	eskuðɾiɲase
escudriñaseis	eskuðɾiɲaseis
escudriñasen	eskuðɾiɲasen
escudriñases	eskuðɾiɲases
escudriñaste	eskuðɾiɲaste
escudriñasteis	eskuðɾiɲasteis
escudriñe	eskuðɾiɲe
escudriñemos	eskuðɾiɲemos
escudriñen	eskuðɾiɲen
escudriñes	eskuðɾiɲes
escudriño	eskuðɾiɲo
escudriñábamos	eskuðɾiˈɲaβamos
escudriñáis	eskuðɾiˈɲais
escudriñándola	eskuðɾiˈɲandola
escudriñándolas	eskuðɾiˈɲandolas
escudriñándole	eskuðɾiˈɲandole
escudriñándoles	eskuðɾiˈɲandoles
escudriñándolo	eskuðɾiˈɲandolo
escudriñándolos	eskuðɾiˈɲandolos
escudriñáramos	eskuðɾiˈɲaɾamos
escudriñáremos	eskuðɾiˈɲaɾemos
escudriñásemos	eskuðɾiˈɲasemos
escudriñé	eskuðɾiˈɲe
escudriñéis	eskuðɾiˈɲeis
escudriñó	eskuðɾiˈɲo
escudábamos	eskuˈðaβamos
escudáis	eskuˈðais
escudándola	eskuˈðandola
escudándolas	eskuˈðandolas
escudándole	eskuˈðandole
escudándoles	eskuˈðandoles
escudándolo	eskuˈðandolo
escudándolos	eskuˈðandolos
escudándome	eskuˈðandome
escudándonos	eskuˈðandonos
escudándoos	eskuˈðandoos
escudándose	eskuˈðandose
escudándote	eskuˈðandote
escudáramos	eskuˈðaɾamos
escudáremos	eskuˈðaɾemos
escudásemos	eskuˈðasemos
escudé	eskuˈðe
escudéis	eskuˈðeis
escudó	eskuˈðo
escuece	eskwese
escuecen	eskwesen
escueces	eskweses
escuela	eskwela
escuelas	eskwelas
escuerzo	eskweɾso
escuerzos	eskweɾsos
escueta	eskweta
escuetamente	eskwetamente
escuetas	eskwetas
escueto	eskweto
escuetos	eskwetos
escueza	eskwesa
escuezan	eskwesan
escuezas	eskwesas
escuezna	eskwesna
escueznaba	eskwesnaβa
escueznabais	eskwesnaβais
escueznaban	eskwesnaβan
escueznabas	eskwesnaβas
escueznad	eskwesnað
escueznada	eskwesnaða
escueznadas	eskwesnaðas
escueznado	eskwesnaðo
escueznados	eskwesnaðos
escueznamos	eskwesnamos
escueznan	eskwesnan
escueznando	eskwesnando
escueznar	eskwesnaɾ
escueznara	eskwesnaɾa
escueznarais	eskwesnaɾais
escueznaran	eskwesnaɾan
escueznaras	eskwesnaɾas
escueznare	eskwesnaɾe
escueznareis	eskwesnaɾeis
escueznaremos	eskwesnaɾemos
escueznaren	eskwesnaɾen
escueznares	eskwesnaɾes
escueznaron	eskwesnaɾon
escueznará	eskwesnaˈɾa
escueznarán	eskwesnaˈɾan
escueznarás	eskwesnaˈɾas
escueznaré	eskwesnaˈɾe
escueznaréis	eskwesnaˈɾeis
escueznaría	eskwesnaˈɾia
escueznaríais	eskwesnaˈɾiais
escueznaríamos	eskwesnaˈɾiamos
escueznarían	eskwesnaˈɾian
escueznarías	eskwesnaˈɾias
escueznas	eskwesnas
escueznase	eskwesnase
escueznaseis	eskwesnaseis
escueznasen	eskwesnasen
escueznases	eskwesnases
escueznaste	eskwesnaste
escueznasteis	eskwesnasteis
escuezne	eskwesne
escueznemos	eskwesnemos
escueznen	eskwesnen
escueznes	eskwesnes
escuezno	eskwesno
escueznos	eskwesnos
escueznábamos	eskweˈsnaβamos
escueznáis	eskweˈsnais
escueznáramos	eskweˈsnaɾamos
escueznáremos	eskweˈsnaɾemos
escueznásemos	eskweˈsnasemos
escuezné	eskweˈsne
escueznéis	eskweˈsneis
escueznó	eskweˈsno
escuezo	eskweso
esculca	eskulka
esculcaba	eskulkaβa
esculcabais	eskulkaβais
esculcaban	eskulkaβan
esculcabas	eskulkaβas
esculcad	eskulkað
esculcada	eskulkaða
esculcadas	eskulkaðas
esculcado	eskulkaðo
esculcados	eskulkaðos
esculcamos	eskulkamos
esculcan	eskulkan
esculcando	eskulkando
esculcar	eskulkaɾ
esculcara	eskulkaɾa
esculcarais	eskulkaɾais
