1/2	h ˈɑ f
labour	l ˈe ɪ b ɚ
labourers	l ə b ˌɔ ɹ ɚ z
labours	l ˈe ɪ b ɚ z
lace	l ˈe ɪ s
laces	l ˈe ɪ s ɪ z
lachlan	l ˈæ k l ə n
lachlan's	l ˈæ k l ə n z
lachlans	l ˈæ k l ə n z
lacked	l ˈæ k t
lacy	l ˈe ɪ s i
lad	l ˈæ d
ladder	l ˈæ d ɚ
ladders	l ˈæ d ɚ z
laden	l ˈe ɪ d ə n
ladies	l ˈe ɪ d i z
lads	l ˈæ d z
lady	l ˈe ɪ d i
lady's	l ˈe ɪ d i z
ladybird	l ˈe ɪ d i b ˌɚ d
ladybirds	l ˈe ɪ d i b ˈɚ d z
ladybug	l ˈe ɪ d i b ˌʌ ɡ
ladybugs	l ˈe ɪ d i b ˌʌ ɡ z
ladys	l ˈe ɪ d i z
lagged	l ˈæ ɡ d
laid	l ˈe ɪ d
lake	l ˈe ɪ k
lakebed	l ˈe ɪ k b ˌɛ d
lakes	l ˈe ɪ k s
lakeside	l ˈe ɪ k s ˌa ɪ d
lamb's	l ˈæ m z
lamp	l ˈæ m p
lamps	l ˈæ m p s
lan	l ˈæ n
land	l ˈæ n d
landed	l ˈæ n d ɪ d
landing	l ˈæ n d ɪ ŋ
lands	l ˈæ n d z
landscape	l ˈæ n d s k ˌe ɪ p
landslide	l ˈæ n d s l ˌa ɪ d
lane	l ˈe ɪ n
lanes	l ˈe ɪ n z
language	l ˈæ ŋ ɡ w ɪ d͡ʒ
lankan	l ˈæ n k ə n
lantern	l ˈæ n t ɚ n
lanterns	l ˈæ n t ɚ n z
lap	l ˈæ p
lapis	l ˈæ p ə s
laps	l ˈæ p s
laptop	l ˈæ p t ˌɑ p
lara	l ˈɑ ɹ ɑ
large	l ˈɑ ɹ d͡ʒ
larger	l ˈɑ ɹ d͡ʒ ɚ
largest	l ˈɑ ɹ d͡ʒ ɪ s t
larva	l ˈɑ ɹ v ə
larvae	l ˈɑ ɹ v i
larval	l ˈɑ ɹ v ə l
lasagna	l ə z ˈɑ n j ə
laser	l ˈe ɪ z ɚ
last	l ˈæ s t
lasting	l ɑ s t ˌi ŋ
lasts	l ˈæ s t s
latch	l ˈæ t͡ʃ
late	l ˈe ɪ t
lately	l ˈe ɪ t l i
later	l ˈe ɪ t ɚ
latest	l ˈe ɪ t ɪ s t
laugh	l ˈæ f
laughed	l ˈæ f t
laughing	l ˈæ f ɪ ŋ
laughs	l ˈæ f s
laughter	l ˈæ f t ɚ
launch	l ˈɔ n t͡ʃ
launched	l ˈɔ n t͡ʃ t
launches	l ˈɔ n t͡ʃ ɪ z
lava	l ˈɑ v ə
law	l ˈɔ
lawn	l ˈɔ n
laws	l ˈɔ z
lawson	l ˈɔ s ə n
lay	l ˈe ɪ
layer	l ˈe ɪ ɚ
laying	l ˈe ɪ ɪ ŋ
lays	l ˈe ɪ z
laze	l ˈe ɪ z
lazed	l ˈe ɪ z d
lazuli	l ˌæ z j u l a ɪ
lazy	l ˈe ɪ z i
leaches	l ˈi t͡ʃ ɪ z
leacy	l ˈɛ ɡ ə s i
lead	l ˈi d
leader	l ˈi d ɚ
leaders	l ˈi d ɚ z
leading	l ˈi d ɪ ŋ
leads	l ˈi d z
leaf	l ˈi f
leafy	l ˈi f i
leaks	l ˈi k s
lean	l ˈi n
leaning	l ˈi n ɪ ŋ
leans	l ˈi n z
leap	l ˈi p
leaping	l i p ɪ ŋ
leaps	l ˈi p s
leapt	l ˈɛ p t
learn	l ˈɚ n
learned	l ˈɚ n d
learned	l ˈɚ n ɪ d
learning	l ˈɚ n ɪ ŋ
learns	l ˈɚ n z
learnt	l ˈɚ n t
leash	l ˈi ʃ
least	l ˈi s t
leather	l ˈɛ ð ə ɹ
leave	l ˈi v
leaves	l i v z
leaving	l ˈi v ɪ ŋ
led	l ˈɛ d
ledge	l ˈɛ d͡ʒ
left	l ˈɛ f t
leftover	l ˈɛ f t ˌo ʊ v ɚ
leg	l ˈɛ ɡ
legacy	l ˈɛ ɡ ə s i
legend	l ˈɛ d͡ʒ ə n d
legendary	l ˈɛ d͡ʒ ˈɛ n d ˈɛ ɹ i
legged	l ˈɛ ɡ d
legs	l ˈɛ ɡ z
leisure	l ˈi ʒ ɚ
lem	l ɛ m
lemon	l ˈɛ m ə n
len	l ˈɛ n
lend	l ˈɛ n d
length	l ˈɛ ŋ θ
lens	l ˈɛ n z
lent	v
leopard	l ˈɛ p ɚ d
leopards	l ɛ p ɚ d z
less	l ˈɛ s
lesser	l ˈɛ s ɚ
lesson	l ˈɛ s ə n
lessons	l ˈɛ s ə n z
let	l ˈɛ t
let's	l ˈɛ t s
lets	l ˈɛ t s
letter	l ˈɛ t ɚ
letters	l ˈɛ t ɚ z
letting	l ˈɛ t t ɪ ŋ
level	l ˈɛ v ə l
levels	l ˈɛ v ə l z
lever	l ˈɛ v ɚ
levers	l ˈɛ v ɚ z
librarian	l a ɪ b ɹ ˈɛ ɹ i ə n
libraries	l ˈa ɪ b ɹ ɪ ɹ i z
library	l ˈa ɪ b ɹ ɛ ɹ i
lick	l ˈɪ k
licking	l ˈɪ k ɪ ŋ
licks	l ˈɪ k s
lid	l ˈɪ d
lids	l ˈɪ d z
lie	l ˈa ɪ
lied	l ˈa ɪ d
lies	l ˈa ɪ z
life	l ˈa ɪ f
lifestyle	l ˈa ɪ f s t ˌa ɪ l
lift	l ˈɪ f t
lifts	l ˈɪ f t s
ligh	l ˈa ɪ t
light	l ˈa ɪ t
lighter	l ˈa ɪ t ɚ
lighthouse	l ˈa ɪ t h ˌa ʊ s
lighthouses	l ˈa ɪ t h ˌa ʊ z ɪ z
lighting	l ˈa ɪ t ɪ ŋ
lightning	l ˈa ɪ t n ɪ ŋ
lights	l ˈa ɪ t s
like	l ˈa ɪ k
liked	l ˈa ɪ k t
likely	l ˈa ɪ k l i
likes	l ˈa ɪ k s
likewise	l ˈa ɪ k w ˌa ɪ z
liking	l ˈa ɪ k ɪ ŋ
lila	l ˈi l ə
lili	l ˈɪ l i
lilly	l ˈɪ l i
lily	l ˈɪ l i
limb	l ˈɪ m
limbs	l ˈɪ m z
lime	l ˈa ɪ m
limit	l ˈɪ m ɪ t
line	l ˈa ɪ n
lined	l ˈa ɪ n d
lines	l ˈa ɪ n z
link	l ˈɪ ŋ k
linked	l ˈɪ ŋ k t
links	l ˈɪ ŋ k s
lion	l ˈa ɪ ə n
lionfish	l ˈa ɪ ə n f ɪ ʃ
lions	l ˈa ɪ ə n z
lip	l ˈɪ p
lips	l ˈɪ p s
lipstick	l ˈɪ p s t ˌɪ k
liqueur	l ɪ k ˈɚ
liquid	l ˈɪ k w ɪ d
lisa	l ˈi s ə
lisa's	l ˈi s ə z
list	l ˈɪ s t
listen	l ˈɪ s ə n
listened	l ˈɪ s ə n d
listening	l ˈɪ s n ɪ ŋ
listens	l ˈɪ s ə n z
lit	l ˈɪ t
liters	l ˈi t ɚ z
litres	l ˈi t ɚ z
litter	l ˈɪ t ɚ
litterbug	l ˈɪ t t ɚ b ə ɡ
litterbugs	l ˈɪ t t ɚ b ə ɡ z
littered	l ˈɪ t ɚ d
little	l ˈɪ t ə l
live	l ˈa ɪ v
live	l ɪ v
lived	l ˈɪ v d
lively	l ˈa ɪ v l ˈi
lives	l ˈɪ v z
lives	l ˈa ɪ v z
livestock	l ˈa ɪ v s t ˌɑ k
living	l ˈɪ v ɪ ŋ
liz	l ˈɪ z
lizard	l ˈɪ z ɚ d
lizards	l ˈɪ z ɚ d z
llama	l ˈɑ m ə
llama's	l ˈɑ m ə z
llamas	l ˈɑ m ə z
load	l ˈo ʊ d
loaded	l ˈo ʊ d ɪ d
loads	l ˈo ʊ d z
loaf	l ˈo ʊ f
loath	l ˈo ʊ θ
local	l ˈo ʊ k ə l
locate	l ˈo ʊ k ˌe ɪ t
location	l o ʊ k ˈe ɪ ʃ ə n
locations	l ˈo ʊ k ˈe ɪ ʃ ə n z
lock	l ˈɑ k
locked	l ˈɑ k t
locks	l ˈɑ k s
lodge	l ˈɑ d͡ʒ
lodged	l ˈɑ d͡ʒ d
log	l ˈɔ ɡ
loggerhead	l ˈɑ ɡ ɚ h ˌɛ d
logs	l ˈɔ ɡ z
lollies	l ˈɔ l i z
lollipop	l ˈɑ l i p ˌɑ p
lolly	l ˈɑ l l i
london	l ˈʌ n d ə n
lone	l ˈo ʊ n
lonely	l ˈo ʊ n l i
long	l ˈɔ ŋ
long-abandoned	l ˈɔ ŋ ə b ˈæ n d ə n d
long-term	l ˈɔ ŋ t ˈɚ m
longer	l ˈɔ ŋ ɡ ɚ
longest	l ˈɔ ŋ ɡ ɪ s t
longs	l ˈɔ ŋ z
loo	l ˈu
look	l ˈʊ k
lookbook	l ˈʊ k b ˌʊ k
looked	l ˈʊ k t
looking	l ˈʊ k ɪ ŋ
lookout	l ˈʊ k ˌa ʊ t
looks	l ˈʊ k s
loom	l ˈu m
loop	l ˈu p
looped	l ˈu p t
loops	l ˈu p s
loose	l ˈu s
loosen	l ˈu s ə n
loot	l ˈu t
looting	l ˈu t ɪ ŋ
lose	l ˈu z
loses	l ˈu z ɪ z
losing	l ˈu z ɪ ŋ
loss	l ˈɔ s
lost	l ˈɔ s t
lot	l ˈɑ t
lotl	l ɑ t l
lots	l ˈɑ t s
lotus	l ˈo ʊ t ə s
loud	l ˈa ʊ d
louder	l ˈa ʊ d ɚ
louding	l ˈa ʊ d ɪ ŋ
loudly	l ˈa ʊ d l i
louise	l u i z
love	l ˈʌ v
loved	l ˈʌ v d
lovely	l ˈʌ v l i
lover	l ˈʌ v ɚ
lovers	l ˈʌ v ɚ z
loves	l ˈʌ v z
low	l ˈo ʊ
lower	l ˈo ʊ ɚ
lowered	l ˈo ʊ ɚ d
lowest	l ˈo ʊ w ɪ s t
lowing	l ə ʊ ɪ ŋ
lowland	l ˈo ʊ l ˈæ n d
loyal	l ˈɔ ɪ ə l
luck	l ˈʌ k
luckily	l ˈʌ k ɪ l i
lucky	l ˈʌ k i
lucy	l ˈu s i
lug	l ˈʌ ɡ
lugged	l ˈʌ ɡ ɪ d
lukewarm	l ˈu k w ˈɔ ɹ m
lumbering	l ˈʌ m b ɚ ɹ ɪ ŋ
luminous	l ˈu m ə n ə s
lump	l ˈʌ m p
lumps	l ˈʌ m p s
lumpy	l ˈʌ m p i
lunacy	l ˈu n ə s i
lunch	l ˈʌ n t͡ʃ
lung	l ˈʌ ŋ
lungs	l ˈʌ ŋ z
lurched	l ˈɚ t͡ʃ d
lurching	l ˈɚ t͡ʃ ɪ ŋ
lure	l ʊ ɹ
lurk	l ˈɚ k
lurks	l ˈɚ k s
lush	l ˈʌ ʃ
lutungs	l ˈu t ˈʌ ŋ z
lying	l ˈa ɪ ɪ ŋ
lyn	l ˈɪ n
lyre	l ˈa ɪ ɹ
lyrebird	l ˈa ɪ ɚ b ˈɚ d
m	ˈɛ m
ma	m ˈɑ
ma's	m ˈɑ z
macaques	m ə k ˈæ k s
machine	m ə ʃ ˈi n
machines	m ə ʃ ˈi n z
mad	m ˈæ d
madagascar	m ˌæ d ə ɡ ˈæ s k ɚ
made	m ˈe ɪ d
madly	m ˈæ d l i
madness	m ˈæ d n ə s
mage	m ˈe ɪ d͡ʒ
mage's	m e ɪ d͡ʒ ə z
mages	m ˈe ɪ d͡ʒ ɪ z
magic	m ˈæ d͡ʒ ɪ k
magical	m ˈæ d͡ʒ ɪ k ə l
magician	m ə d͡ʒ ˈɪ ʃ ə n
magician's	m ə d͡ʒ ˈɪ ʃ ə n z
magnet	m ˈæ ɡ n ɪ t
magnets	m ˈæ ɡ n ə t s
magnificent	m æ ɡ n ˈɪ f ɪ s ə n t
magpie	m ˈæ ɡ p ˌa ɪ
mahakam	m ə h ˈɑ k ˈɑ m
maiden	m ˈe ɪ d ə n
maidens	m ˈe ɪ d ə n z
mail	m ˈe ɪ l
main	m ˈe ɪ n
mainland	m ˈe ɪ n l ˌæ n d
mainly	m ˈe ɪ n l i
mains	m ˈe ɪ n z
majestic	m ə d͡ʒ ˈɛ s t ɪ k
majesty	m ˈæ d͡ʒ ɪ s t i
major	m ˈe ɪ d͡ʒ ɚ
mak	m ˈæ k
make	m ˈe ɪ k
makes	m ˈe ɪ k s
makeshift	m ˈe ɪ k ʃ ˌɪ f t
makeup	m ˈe ɪ k ˌʌ p
making	m ˈe ɪ k ɪ ŋ
malayan	m ə l ˈe ɪ ə n
male	m ˈe ɪ l
males	m ˈe ɪ l z
malicious	m ə l ˈɪ ʃ ə s
mama	m ˈɑ m ə
mammal	m ˈæ m ə l
mammals	m ˈæ m ə l z
mammoth	m ˈæ m ə θ
man	m ˈæ n
man's	m ˈæ n z
man-made	m ˈæ n m ˈe ɪ d
manage	m ˈæ n ɪ d͡ʒ
managed	m ˈæ n ɪ d͡ʒ d
manages	m æ n ɪ d͡ʒ ɪ z
mane	m ˈe ɪ n
manes	m ˈe ɪ n z
mango	m ˈæ ŋ ɡ o ʊ
mangoes	m ˈæ ŋ ɡ o ʊ z
manipulate	m ə n ˈɪ p j ə l ˌe ɪ t
manners	m ˌæ n ə z
mans	m ˈæ n z
mansion	m ˈæ n ʃ ə n
manta	m ˈæ n t ə
manticore	m ˈæ n t ɪ k ˌɔ ɹ
mantle	m ˈæ n t ə l
many	m ˈɛ n i
map	m ˈæ p
maps	m ˈæ p s
mar	m ˈɑ ɹ
marble	m ˈɑ ɹ b ə l
marbles	m ˈɑ ɹ b ə l z
march	m ˈɑ ɹ t͡ʃ
marched	m ˈɑ ɹ t͡ʃ t
marches	m ˈɑ ɹ t͡ʃ ɪ z
margarine	m ˈɑ ɹ d͡ʒ ɚ ˈi n
mark	m ˈɑ ɹ k
marked	m ˈɑ ɹ k t
marker	m ˈɑ ɹ k ɚ
market	m ˈɑ ɹ k ɪ t
markets	m ˈɑ ɹ k ɪ t s
marks	m ˈɑ ɹ k s
mars	m ˈɑ ɹ z
marsh	m ˈɑ ɹ ʃ
marshes	m ˈɑ ɹ ʃ ɪ z
marvellous	m ˈɑ ɹ v ə l ə s
marvelous	m ˈɑ ɹ v ə l ə s
mas	m ˈɑ z
mask	m ˈæ s k
mason	m ˈe ɪ s ə n
mass	m ˈæ s
massive	m ˈæ s ɪ v
master	m ˈæ s t ɚ
masters	m ˈæ s t ɚ z
mat	m ˈæ t
match	m ˈæ t͡ʃ
matches	m ˈæ t͡ʃ ɪ z
mate	m ˈe ɪ t
material	m ə t ˈɪ ɹ i ə l
materials	m ə t ˈɪ ɹ i ə l z
mates	m e ɪ t s
math	m ˈæ θ
maths	m ˈæ θ s
mats	m ˈæ t s
matt	m ˈæ t
matter	m ˈæ t ɚ
matters	m ˈæ t ɚ z
mature	m ə t͡ʃ ˈʊ ɹ
maximum	m ˈæ k s ə m ə m
may	m ˈe ɪ
maybe	m ˈe ɪ b i
me	m ˈi
meager	m ˈi ɡ ɚ
meagre	m ˈi ɡ ɹ i
meal	m ˈi l
meals	m ˈi l z
mean	m ˈi n
meanest	m ˈi n ə s t
meaning	m ˈi n ɪ ŋ
means	m ˈi n z
meant	m ˈɛ n t
meantime	m ˈi n t ˌa ɪ m
meanwhile	m ˈi n w a ɪ l
measure	m ˈɛ ʒ ɚ
meat	m ˈi t
mechanic	m ɪ k ˈæ n ɪ k
mechanics	m ɪ k ˈæ n ɪ k s
medal	m ˈɛ d ə l
medals	m ˈɛ d ə l z
meddle	m ˈɛ d ə l
meddle	m ɛ d ɪ l
media	m ˈi d i ə
mediaeval	m ˈɛ d i ˌ e ɪ v ə l
mediaeval	m ɪ d ˈi v ə l
medical	m ˈɛ d ɪ k ə l
medicine	m ˈɛ d ɪ s ə n
medicines	m ˈɛ d ɪ s ə n z
medieval	m ɛ d i ˈi v ə l
medium	m ˈi d i ə m
mediums	m ˈi d i ə m z
meet	m ˈi t
meeting	m ˈi t ɪ ŋ
meetings	m ˈi t ɪ ŋ z
meets	m ˈi t s
meg	m ˈɛ ɡ
meg's	m ˈɛ ɡ z
mei	m ˈe ɪ
mel	m ˈɛ l
mel's	m ˈɛ l z
melody	m ˈɛ l ə d i
melon	m ˈɛ l ə n
melt	m ˈɛ l t
melted	m ɛ l t ə d
melts	m ɛ l t z
member	m ˈɛ m b ɚ
members	m ˈɛ m b ɚ z
memories	m ˈɛ m m ɚ ɹ i z
memory	m ˈɛ m ɚ ɹ i
men	m ˈɛ n
menacing	m ˈɛ n ə s ɪ ŋ
mend	m ˈɛ n d
mending	m ˈɛ n d ɪ ŋ
mends	m ˈɛ n d z
mental	m ˈɛ n t ə l
mention	m ɛ n ʃ n
menu	m ˈɛ n j u
meow	m i ˈa ʊ
meow's	m i ˈa ʊ z
meows	m ˈo ʊ z
mer	m ˈɛ ɹ
mercury	m ˈɚ k j ɚ ɹ i
mercy	m ˈɚ s i
mermaid	m ˈɚ m ˌe ɪ d
merry	m ˈɛ ɹ i
mess	m ˈɛ s
message	m ˈɛ s ɪ d͡ʒ
messages	m ˈɛ s ɪ d͡ʒ ɪ z
messed	m ˈɛ s t
messes	m ˈɛ s ɪ z
messy	m ˈɛ s ˈi
met	m ˈɛ t
metal	m ˈɛ t ə l
metallic	m ɪ t ˈæ l ɪ k
meter	m ˈi t ɚ
meters	m ˈi t ɚ z
method	m ˈɛ θ ə d
metre	m ˈi t ɹ
metres	m ˈi t ɹ z
mew	m j ˈu
mice	m ˈa ɪ s
michael	m ˈa ɪ k ə l
microbe	m ˈa ɪ k ɹ ˌo ʊ b
microbes	m ˈa ɪ k ɹ ˌo ʊ b z
microgravity	m ˈɪ k ɹ ə ɡ ɹ ˈæ v ɪ t i
microphone	m ˈa ɪ k ɹ o ʊ f ˌo ʊ n
microscope	m ˈa ɪ k ɹ o ʊ s k ˌo ʊ p
microscopes	m ˈa ɪ k ɹ o ʊ s k ˌo ʊ p s
mid	m ˈɪ d
mid-air	m ˈɪ d ˈɛ ɹ
midday	m ˈɪ d d ˌe ɪ
middle	m ˈɪ d ə l
midget	m ˈɪ d͡ʒ ə t
midnight	m ˈɪ d n ˌa ɪ t
mids	m ˈɪ d z
midsummer	m ˈɪ d s ˈʌ m ɚ
midway	m ˈɪ d w ˌe ɪ
midyear	m ˈɪ d j ˌɪ ɹ
might	m ˈa ɪ t
mighty	m ˈa ɪ t i
migration	m a ɪ ɡ ɹ ˈe ɪ ʃ ə n
mild	m ˈa ɪ l d
mile	m ˈa ɪ l
miles	m ˈa ɪ l z
milk	m ˈɪ l k
milked	m ˈɪ l k t
milking	m ɪ l k ɪ ŋ
milky	m ˈɪ l k i
mill	m ˈɪ l
millimeter	m ˈɪ l ɪ m ˌi t ɚ
millimeters	m ˈɪ l ɪ m ˌi t ɚ z
millimetres	m ˈɪ l ɪ m ˌi t ɚ z
milling	m ˈɪ l ɪ ŋ
million	m ˈɪ l j ə n
millions	m ˈɪ l j ə n z
mimic	m ˈɪ m ɪ k
min	m ˈɪ n
mind	m ˈa ɪ n d
mindless	m ˈa ɪ n d l ə s
minds	m ˈa ɪ n d z
mine	m ˈa ɪ n
minecart	m ˌa ɪ n k ɑ ɹ t
minecraft	m ˈa ɪ n k ɹ ˌæ f t
mined	m ˌa ɪ n d
miner	m ˈa ɪ n ˈɚ
mines	m ˈa ɪ n z
minimum	m ˈɪ n ə m ə m
mining	m ˈa ɪ n ɪ ŋ
mins	m ˈɪ n z
minus	m ˈa ɪ n ə s
minute	m ˈɪ n ɪ t
minutes	m ˈɪ n ə t s
minx	m ɪ ŋ k s
mirror	m ˈɪ ɹ ɚ
mischief	m ˈɪ s t͡ʃ ə f
mischievous	m ɪ s t͡ʃ ə f ə s
misconduct	m ɪ s k ˈɑ n d ʌ k t
misconduct	m ɪ s k ə n d ˈʌ k t
misdeed	m ˈɪ s d ˈi d
misdeeds	m ɪ s d ˈi d z
misfit	m ˈɪ s f ˌɪ t
misgiving	m ɪ s ɡ ˈɪ v ɪ ŋ
misgivings	m ɪ s ɡ ˈɪ v ɪ ŋ z
mishap	m ˈɪ s h ˌæ p
mishaps	m ˈɪ s h ˌæ p s
misheard	m ˌɪ s h ˈɚ d
miss	m ˈɪ s
missed	m ˈɪ s t
misses	m ˈɪ s ɪ z
missig	m ˈɪ s ɪ ŋ
missiles	m ɪ s a ɪ l z
missing	m ˈɪ s ɪ ŋ
mission	m ˈɪ ʃ ə n
missus	m ˈɪ s s ɪ z
mistake	m ɪ s t ˈe ɪ k
mistakes	m ɪ s t ˈe ɪ k s
mistaking	m ɪ s t ˈe ɪ k ɪ ŋ
mister	m ˈɪ s t ɚ
mistook	m ɪ s t ˈʊ k
mistreated	m ɪ s t ɹ ˈi t ə d
mite	m ˈa ɪ t
mites	m ˈa ɪ t s
mix	m ˈɪ k s
mixed	m ˈɪ k s t
mixes	m ˈɪ k s ɪ z
mixing	m ˈɪ k s ɪ ŋ
mixture	m ˈɪ k s t͡ʃ ɚ
moan	m ˈo ʊ n
moaning	m ˈo ʊ n ɪ ŋ
moat	m ˈo ʊ t
mob	m ˈɑ b
mobs	m ˈɑ b z
mode	m ˈo ʊ d
model	m ˈɑ d ə l
models	m ˈɑ d ə l z
moderate	m ˈɑ d ɚ ɹ ɪ t
moderate	m ˈɑ d ɚ ɹ ˌe ɪ t
moderates	m ˈɑ d ɚ ɹ ˌe ɪ t s
moderates	m ˈɑ d ɚ ɹ ɪ t s
modern	m ˈɑ d ɚ n
moist	m ˈɔ ɪ s t
mold	m ˈo ʊ l d
moldy	m ˈo ʊ l d i
mole	m ˈo ʊ l
molecule	m ˈɑ l ə k j ˌu l
molecules	m ˈɑ l ə k j ˌu l z
molt	m ˈo ʊ l t
molts	m ˈɔ l t s
mom	m ˈɑ m
mom's	m ˈɑ m z
moment	m ˈo ʊ m ə n t
moment's	m ˈo ʊ m ə n t s
moments	m ˈo ʊ m ə n t s
mommy	m ˈɑ m i
monacle	m ˈɑ n ə k ə l
money	m ˈʌ n i
mongoose	m ˈɑ ŋ ɡ u s
monitor	m ˈɑ n ə t ɚ
monkey	m ˈʌ ŋ k i
monkey's	m ˈʌ ŋ k i z
monkeys	m ˈʌ ŋ k i z
monocle	m ˈɑ n ə k ə l
monoculture	m ˈɑ n n ə k ˌʌ l t͡ʃ ɚ
monotone	m ˈɑ n o ʊ t ˌo ʊ n
monster	m ˈɑ n s t ɚ
monsters	m ˈɑ n s t ɚ z
monstrous	m ˈɑ n s t ɹ ə s
month	m ˈʌ n θ
months	m ˈʌ n θ s
moo	m ˈu
mood	m ˈu d
moon	m ˈu n
moons	m ˈu n z
mooooooooo	m ˈu ˌu ˌu ˌu
moored	m ˈʊ ɹ d
mooshroom	m ˈu ʃ ɹ ˈu m
mooshrooms	m u ʃ ɹ ˌu m z
mop	m ˈɑ p
mope	m ˈo ʊ p
mopes	m ˈo ʊ p z
moral	m ˈɔ ɹ ə l
morals	m ˈɔ ɹ ə l z
more	m ˈɔ ɹ
mores	m ˈɔ ɹ ˌe ɪ z
morning	m ˈɔ ɹ n ɪ ŋ
mornings	m ˈɔ ɹ n ɪ ŋ z
morph	m ˈɔ ɹ f
morsels	m ɔ ɹ s ə l z
mosquito	m ə s k ˈi t o ʊ
mosquitoes	m ə s k ˈi t o ʊ z
mosquitos	m ə s k ˈi t o ʊ z
moss	m ˈɔ s
most	m ˈo ʊ s t
mostly	m ˈo ʊ s t l i
moth	m ˈɔ θ
mother	m ˈʌ ð ɚ
mother's	m ˈʌ ð ɚ z
moths	m ˈɔ θ s
motion	m ˈo ʊ ʃ ə n
motioning	m ˈo ʊ ʃ ə n ɪ ŋ
motor	m ˈo ʊ t ɚ
mould	m ˈo ʊ l d
mouldy	m ˈo ʊ l d i
mound	m ˈa ʊ n d
mounds	m ˈa ʊ n d z
mountain	m ˈa ʊ n t ə n
mountains	m ˈa ʊ n t ə n z
mouse	m ˈa ʊ s
mouth	m ˈa ʊ θ
mouth	m ˈa ʊ ð
mouthfuls	m a ʊ θ f ʊ l z
mouths	m ˈa ʊ ð z
move	m ˈu v
moved	m ˈu v d
movement	m ˈu v m ə n t
movements	m ˈu v m ə n t s
moves	m ˈu v z
movie	m ˈu v i
movies	m ˈu v i z
moving	m ˈu v ɪ ŋ
mower	m ˈo ʊ ɚ
mowing	m ˈa ʊ ɪ ŋ
mr	m ˈɪ s t ɚ
mrs	m ˈɪ s ɪ z
much	m ˈʌ t͡ʃ
muck	m ˈʌ k
mucus	m j ˈu k ə s
mucus-laden	m j ˈu k ə s l ˈe ɪ d ə n
mud	m ˈʌ d
muddled	m ˈʌ d ə l d
muddy	m ˈʌ d i
mug	m ˈʌ ɡ
muggy	m ˈʌ ɡ i
mule	m j ˈu l
multi	m ˈʌ l t i
multi-coloured	m ˈʌ l t i k ˈʌ l ɚ d
multiple	m ˈʌ l t ɪ p ə l
mum	m ˈʌ m
mum's	m ˈʌ m z
mummy	m ˈʌ m i
mums	m ˈʌ m z
munch	m ˈʌ n t͡ʃ
munched	m ˈʌ n t͡ʃ t
munches	m ˈʌ n t͡ʃ ɪ z
munching	m ˈʌ n t͡ʃ ɪ ŋ
muscle	m ˈʌ s ə l
muscles	m ˈʌ s ə l z
muscular	m ˈʌ s k j ə l ɚ
muse	m j ˈu z
museum	m j u z ˈi ə m
mushroom	m ˈʌ ʃ ɹ u m
mushrooms	m ˈʌ ʃ ɹ u m z
music	m j ˈu z ɪ k
musician	m j u z ˈɪ ʃ ə n
must	m ˈʌ s t
musty	m ˈʌ s t i
muttered	m ˈʌ t ɚ d
mutters	m ʌ t ə z
mutton	m ʌ t ə n
my	m ˈa ɪ
myanmar	m ˈi ə n m ˈɑ ɹ
myself	m a ɪ s ˈɛ l f
mysterious	m ɪ s t ˈɪ ɹ i ə s
mystery	m ˈɪ s t ɚ ɹ i
myth	m ˈɪ θ
mythology	m ɪ θ ˈɑ l ə d͡ʒ i
myths	m ˈɪ θ s
n	ˈɛ n
n-g	ˈɛ n d͡ʒ ˈi
n-k	ˈɛ n k ˈe ɪ
nab	n ˈæ b
nabbed	n ˈæ b d
nabs	n ˈæ b z
nag	n ˈæ ɡ
nah	n ˈɑ
nail	n ˈe ɪ l
nails	n ˈe ɪ l z
naive	n ˌa ɪ ˈi v
nakita	n ˈæ k ɪ t ə
name	n ˈe ɪ m
named	n ˈe ɪ m d
names	n ˈe ɪ m z
nan	n ˈæ n
nap	n ˈæ p
naps	n ˈæ p s
narrow	n ˈɛ ɹ o ʊ
narrowed	n ˈɛ ɹ o ʊ d
narwhal	n ˈɑ ɹ w ə l
narwhals	n ˈɑ ɹ w ə l z
nastiest	n ˈæ s t i ɪ s t
nasty	n ˈæ s t i
national	n æ ʃ ə n l
nations	n ˈe ɪ ʃ ə n z
native	n ˈe ɪ t ɪ v
natural	n ˈæ t͡ʃ ɚ ə l
nature	n ˈe ɪ t͡ʃ ɚ
naught	n ˈɔ t
naughty	n ˈɔ t i
nausea	n ˈɔ z i ə
nauseous	n ˈɔ ʃ ə s
navigate	n ˈæ v ə ɡ ˌe ɪ t
navigating	n ˈæ v ə ɡ ˌe ɪ t ɪ ŋ
nay	n ˈe ɪ
near	n ˈɪ ɹ
nearby	n ˈɪ ɹ b ˈa ɪ
nearest	n ˈɪ ɹ ɪ s t
nearly	n ˈɪ ɹ l i
neat	n ˈi t
neatly	n ˈi t l ˈi
neck	n ˈɛ k
necks	n ˈɛ k s
necktie	n ˈɛ k t ˌa ɪ
nectar	n ˈɛ k t ɚ
ned	n ɛ d
ned's	n ɛ d z
need	n ˈi d
needed	n ˈi d ɪ d
needing	n ˈi d ɪ ŋ
needles	n ˈi d l z
needless	n ˈi d l ə s
needs	n ˈi d z
neglected	n ɪ ɡ l ˈɛ k t ɪ d
neigh	n ˈe ɪ
neighbor	n ˈe ɪ b ɚ
neighborhood	n ˈe ɪ b ɚ h ˌʊ d
